date,carcass_sp_Chinese,carcass_type,carcass_taxon,carcass_weight,parent_generation,pair_id,male_size,female_size,clutch_size,n_larvae,total_larval_mass,carcass_weight_loss,breeding_success,prop_eggs_developed,average_larval_mass,larval_density,efficiency
2023-11-28,小白鼠,lab,mammals,27.9,3,19,5.31,4.47,44,38,8.1456,9.4938,1,0.8636363636363636,0.2143578947368421,1.3620071684587813,0.34027956989247315
2023-11-28,小白鼠,lab,mammals,37.81,3,20,4.91,5.32,0,0,0,2.8528,0,NA,NA,NA,NA
2023-11-28,大白鼠,lab,mammals,41.56,3,21,4.44,5.01,0,0,0,1.9182,0,NA,NA,NA,NA
2023-11-28,小白鼠,lab,mammals,23.37,3,22,5.35,5.05,33,20,5.4665,6.7923,1,0.6060606060606061,0.273325,0.8557980316645272,0.29064184852374836
2023-11-28,小白鼠,lab,mammals,25.23,3,23,4.51,3.87,0,0,0,2.4011,0,NA,NA,NA,NA
2023-11-28,小白鼠,lab,mammals,21.51,3,24,4.57,5.03,29,13,3.8552,2.1005,1,0.4482758620689655,0.29655384615384617,0.604370060437006,0.09765225476522546
2023-11-28,小白鼠,lab,mammals,25.66,3,25,5.41,5.22,43,30,7.1856,8.3584,1,0.6976744186046512,0.23952,1.1691348402182384,0.32573655494933745
2023-11-28,小白鼠,lab,mammals,27.5,3,26,5.3,5.01,72,19,4.8063,7.0537,1,0.2638888888888889,0.25296315789473683,0.6909090909090909,0.25649818181818185
2023-11-28,大白鼠,lab,mammals,52.63,3,27,5.34,5.16,26,30,9.2765,11.4146,1,1.1538461538461537,0.3092166666666667,0.5700171005130154,0.2168839065171955
2023-11-28,小白鼠,lab,mammals,10.24,3,28,4.41,5.14,24,15,1.7412,2.7523,1,0.625,0.11608,1.46484375,0.268779296875
2023-11-28,小白鼠,lab,mammals,19.73,3,29,4.49,5.5,44,29,5.3727,7.0872,1,0.6590909090909091,0.18526551724137932,1.4698428788646731,0.3592093258996452
2023-11-28,小白鼠,lab,mammals,19.29,3,30,5.21,4.6,17,19,3.8542,5.6801,1,1.1176470588235294,0.20285263157894737,0.9849663037843442,0.2944582685329186
2023-11-28,小白鼠,lab,mammals,25.59,3,31,5.79,4.65,40,29,5.8849,11.1454,1,0.725,0.20292758620689655,1.1332551778038296,0.43553731926533806
2023-11-28,小白鼠,lab,mammals,15.67,3,32,6.11,4.43,0,0,0,2.0857,0,NA,NA,NA,NA
2023-11-28,小白鼠,lab,mammals,10.37,3,33,5.49,5.57,35,16,2.1258,3.3458,1,0.45714285714285713,0.1328625,1.5429122468659595,0.322642237222758
2023-11-28,小白鼠,lab,mammals,11.72,3,34,4.44,5.76,24,13,2.59,4.0044,1,0.5416666666666666,0.1992307692307692,1.1092150170648463,0.3416723549488055
2023-11-28,小白鼠,lab,mammals,10.73,3,35,5.01,5.76,42,18,0.3964,1.5211,1,0.42857142857142855,0.02202222222222222,1.6775396085740912,0.1417614165890028
2023-11-28,小白鼠,lab,mammals,17.12,3,36,5.51,4.59,30,34,2.9151,5.3304,1,1.1333333333333333,0.08573823529411764,1.9859813084112148,0.31135514018691585
2023-11-28,小白鼠,lab,mammals,23.52,3,37,5.57,4.86,42,10,2.9151,4.4533,1,0.23809523809523808,0.29151,0.4251700680272109,0.18934098639455782
2023-11-28,大白鼠,lab,mammals,88.09,3,38,4.74,5.16,5,0,0,11.1588,0,0,NA,NA,NA
2023-11-28,大白鼠,lab,mammals,80.21,3,39,5.01,5.28,44,0,0,56.8646,0,0,NA,NA,NA
2023-11-28,大白鼠,lab,mammals,98.88,3,40,5.15,4.43,0,0,0,18.8939,0,NA,NA,NA,NA
2023-11-28,東亞家蝠,wild,mammals,3.79,3,1,4.46,4.41,0,0,0,0.11,0,NA,NA,NA,NA
2023-11-28,東亞家蝠,wild,mammals,5.71,3,2,4.92,5.77,13,10,1.5197,2.4297,1,0.7692307692307693,0.15197,1.7513134851138354,0.4255166374781086
2023-11-28,家燕,wild,birds,7.4,3,3,4.91,5.08,24,6,0.4397,1.3297,1,0.25,0.07328333333333333,0.8108108108108107,0.1796891891891892
2023-11-28,斯氏繡眼,wild,birds,10.65,3,4,5.65,4.83,34,15,2.3947,3.1569,1,0.4411764705882353,0.15964666666666666,1.408450704225352,0.2964225352112676
2023-11-28,翠鳥,wild,birds,20.21,3,5,4.96,5.26,17,14,2.996,4.3805,1,0.8235294117647058,0.214,0.6927263730826323,0.2167491340920336
2023-11-28,麻雀,wild,birds,17.45,3,6,4.55,5.48,0,0,0,0.04,0,NA,NA,NA,NA
2023-11-28,南蛇,wild,reptiles,13.04,3,7,5.11,5.58,0,0,0,0.76,0,NA,NA,NA,NA
2023-11-28,鉛色水蛇,wild,reptiles,13.64,3,8,5.12,5.44,27,0,0,0.89,0,0,NA,NA,NA
2023-11-28,臭鼩,wild,mammals,7.84,3,9,4.46,5.37,17,0,0,0.85,0,0,NA,NA,NA
2023-11-28,斯文豪氏攀蜥,wild,reptiles,9.12,3,10,5.38,4.98,12,4,1.3622,2.1822,1,0.3333333333333333,0.34055,0.4385964912280702,0.2392763157894737
2023-11-28,麻雀,wild,birds,12.27,3,11,4.9,5.16,16,17,2.418,3.1791,1,1.0625,0.14223529411764707,1.3854930725346373,0.2590953545232274
2023-11-28,白頭翁,wild,birds,12.75,3,12,5.11,5.08,27,13,1.2449,2.1149,1,0.48148148148148145,0.09576153846153845,1.0196078431372548,0.16587450980392157
2023-11-28,麻雀,wild,birds,23.01,3,13,4.35,5.12,20,14,2.449,3.819,1,0.7,0.1749285714285714,0.6084311169056932,0.16597131681877444
2023-11-28,長尾真稜蜥,wild,reptiles,25.72,3,14,5.52,4.97,19,19,5.3175,5.6775,1,1,0.2798684210526316,0.7387247278382582,0.22074261275272164
2023-11-28,雨傘節,wild,reptiles,25.21,3,15,5.37,5.04,30,0,0,1.68,0,0,NA,NA,NA
2023-11-28,白頭翁,wild,birds,28.1,3,16,4.64,5.05,16,25,4.7512,2.7349,1,1.5625,0.190048,0.889679715302491,0.09732740213523132
2023-11-28,白頭翁,wild,birds,27.82,3,17,4.86,4.97,28,29,7.7581,9.0581,1,1.0357142857142858,0.2675206896551724,1.0424155283968368,0.32559669302659955
2023-11-28,長尾真稜蜥,wild,reptiles,25.46,3,18,5.65,4.67,0,0,0,1.82,0,NA,NA,NA,NA
2023-11-28,大頭蛇,wild,reptiles,27.61,3,19,5.87,4.93,48,36,7.4085,9.4091,1,0.75,0.20579166666666668,1.3038754074610648,0.3407859471206085
2023-11-28,大頭蛇,wild,reptiles,43.23,3,20,4.86,5.24,40,7,2.1246,4.8546,1,0.175,0.30351428571428574,0.16192458940550544,0.1122970159611381
2023-11-28,大頭蛇,wild,reptiles,43.95,3,21,5.31,5.53,36,30,8.24,10.9015,1,0.8333333333333334,0.27466666666666667,0.68259385665529,0.24804323094425482
2023-11-28,麻雀,wild,birds,21.37,3,22,4.6,5.54,32,16,3.8801,6.5787,1,0.5,0.24250625,0.7487131492746841,0.3078474496958353
2023-11-28,麻雀,wild,birds,22.06,3,23,5.06,4.33,0,5,0.8132,3.6411,1,NA,0.16264,0.22665457842248415,0.1650543970988214
